freq,psd_x,psd_y,psd_z,psd_xyz
166.1,3.876e+03,1.352e+04,2.385e+03,1.978e+04
167.7,3.645e+03,1.735e+04,3.158e+03,2.416e+04
169.2,3.434e+03,2.015e+04,3.907e+03,2.749e+04
170.7,3.235e+03,2.109e+04,4.392e+03,2.871e+04
172.3,2.927e+03,2.067e+04,4.519e+03,2.811e+04
173.8,2.537e+03,1.931e+04,4.423e+03,2.627e+04
175.4,2.210e+03,1.784e+04,4.139e+03,2.419e+04
176.9,2.059e+03,1.554e+04,3.505e+03,2.110e+04
178.4,1.941e+03,1.304e+04,2.563e+03,1.755e+04
180.0,2.201e+03,1.122e+04,1.821e+03,1.524e+04
181.5,2.204e+03,8.949e+03,1.267e+03,1.242e+04
183.1,1.799e+03,8.342e+03,1.127e+03,1.127e+04
184.6,1.688e+03,7.843e+03,9.976e+02,1.053e+04
186.1,1.455e+03,6.993e+03,1.106e+03,9.553e+03
187.7,1.239e+03,5.894e+03,1.023e+03,8.156e+03
189.2,1.080e+03,5.166e+03,9.595e+02,7.206e+03
190.7,9.204e+02,4.659e+03,8.941e+02,6.474e+03
192.3,7.820e+02,4.260e+03,8.497e+02,5.892e+03
193.8,7.345e+02,3.935e+03,8.345e+02,5.504e+03
195.4,7.276e+02,3.647e+03,8.728e+02,5.247e+03
196.9,6.757e+02,3.289e+03,8.017e+02,4.766e+03
198.4,5.597e+02,2.925e+03,6.695e+02,4.155e+03
200.0,4.647e+02,2.568e+03,5.506e+02,3.583e+03
