freq,psd_x,psd_y,psd_z,psd_xyz
155.2,1.491e+02,3.985e+03,3.180e+02,4.452e+03
156.7,1.107e+02,3.430e+03,2.052e+02,3.746e+03
158.3,9.382e+01,2.705e+03,1.375e+02,2.936e+03
159.8,1.346e+02,2.140e+03,9.625e+01,2.371e+03
161.3,1.445e+02,2.030e+03,8.084e+01,2.255e+03
162.9,1.044e+02,3.030e+03,8.590e+01,3.220e+03
164.4,9.759e+01,5.711e+03,9.193e+01,5.900e+03
166.0,1.273e+02,1.145e+04,9.397e+01,1.168e+04
167.5,1.936e+02,2.325e+04,8.929e+01,2.354e+04
169.0,3.112e+02,4.492e+04,8.878e+01,4.532e+04
170.6,3.896e+02,5.424e+04,1.050e+02,5.474e+04
172.1,3.955e+02,3.834e+04,1.246e+02,3.886e+04
173.6,3.710e+02,2.055e+04,1.722e+02,2.109e+04
175.2,4.073e+02,1.147e+04,2.053e+02,1.208e+04
176.7,4.965e+02,7.211e+03,1.783e+02,7.886e+03
178.3,5.377e+02,4.759e+03,1.662e+02,5.463e+03
179.8,4.576e+02,2.737e+03,1.887e+02,3.383e+03
181.3,3.442e+02,1.384e+03,2.147e+02,1.943e+03
182.9,2.652e+02,7.983e+02,2.192e+02,1.283e+03
184.4,2.034e+02,4.054e+02,1.898e+02,7.986e+02
185.9,1.796e+02,1.789e+02,1.510e+02,5.094e+02
187.5,1.799e+02,1.089e+02,1.301e+02,4.189e+02
189.0,1.823e+02,7.703e+01,1.251e+02,3.845e+02
190.5,1.730e+02,6.327e+01,1.155e+02,3.518e+02
192.1,1.928e+02,6.860e+01,1.258e+02,3.872e+02
193.6,2.038e+02,8.101e+01,1.302e+02,4.150e+02
195.2,2.146e+02,8.958e+01,1.461e+02,4.503e+02
196.7,2.266e+02,1.538e+02,1.804e+02,5.608e+02
198.2,2.031e+02,1.791e+02,2.637e+02,6.459e+02
199.8,1.834e+02,1.954e+02,3.098e+02,6.886e+02
